Block Number,X,Y,DMA,Zone,Status
2346,32.9194573,24.09431177,1,1135,water meter
2347,32.91947217,24.09436548,1,1135,illegal connection
2348,32.91936781,24.09439187,1,1135,illegal connection
2349,32.91935067,24.09433172,1,1135,water meter
2350,32.9193466,24.09428389,1,1135,water meter
2351,32.91932485,24.09422935,1,1135,water meter
2352,32.91930529,24.09414799,1,1135,water meter
2353,32.91928559,24.09402543,1,1135,water meter
2355,32.91920082,24.09402001,1,1135,water meter
2357,32.91918355,24.09412399,1,1135,water meter
2358,32.91919286,24.09419081,1,1135,non-user
2359,32.91920938,24.09426568,1,1135,water meter
2360,32.91922311,24.09433282,1,1135,water meter
2361,32.91923221,24.09440677,1,1135,illegal connection
2362,32.91911865,24.09442161,1,1135,water meter
2363,32.91911995,24.09435228,1,1135,water meter
2364,32.91910493,24.09427898,1,1135,water meter
2365,32.91909764,24.09420382,1,1135,water meter
2366,32.91909894,24.09412021,1,1135,water meter
2367,32.9191196,24.09404794,1,1135,non-user
2368,32.9191473,24.09396997,1,1135,water meter
2369,32.91922004,24.0938755,1,1135,water meter
2370,32.91929831,24.09364607,1,1135,illegal connection
2371,32.91956038,24.09343034,1,1135,water meter
2372,32.91965887,24.09344338,1,1135,water meter
2373,32.91973072,24.0934129,1,1135,illegal connection
2374,32.91972584,24.09355867,1,1135,illegal connection
2378,32.91964651,24.09391643,1,1135,illegal connection
2379,32.91961153,24.09385505,1,1135,water meter
2380,32.91957823,24.09376999,1,1135,illegal connection
2381,32.91955846,24.09368326,1,1135,illegal connection
2382,32.91956736,24.09362131,1,1135,illegal connection
2383,32.91957075,24.09358243,1,1135,water meter
2384,32.91956138,24.09351536,1,1135,illegal connection
2385,32.91986258,24.09336997,1,1135,water meter
2386,32.91996531,24.09334097,1,1135,illegal connection
2387,32.91984677,24.09385424,1,1135,water meter
2388,32.91998999,24.09398295,1,1135,
2389,32.92010578,24.09405571,1,1135,illegal connection
2390,32.92019557,24.09417921,1,1135,water meter
2391,32.92001466,24.09408189,1,1135,water meter
2392,32.9198359,24.09418461,1,1135,water meter
2394,32.92000227,24.0942825,1,1135,water meter
2396,32.91999125,24.09441657,1,1135,non-user
2397,32.91985156,24.09435935,1,1135,water meter
2398,32.91984405,24.09451944,1,1135,illegal connection
2402,32.91987746,24.09460977,1,1135,water meter
2403,32.91972226,24.09470732,1,1135,water meter
2404,32.91966307,24.0948225,1,1135,water meter
2405,32.91968647,24.09496724,1,1135,water meter
2406,32.91960746,24.09497303,1,1135,illegal connection
2407,32.91951126,24.09498811,1,1135,water meter
2410,32.9195646,24.09508535,1,1135,water meter
2411,32.91963186,24.09515526,1,1135,water meter
2412,32.91950919,24.09517951,1,1135,water meter
